test,impl,display_name,keys,value,mean_ms,median_ms,stddev_ms,min_ms,max_ms,runs,success_rate
insert,askl,ASKL Map (C),5000,1.2325000000000002,1.37356869,1.2325000000000002,0.3500961743129442,1.0742500000000001,2.878375,100,100.0
insert,abseil,Abseil (C++),5000,6.863979500000001,6.9971470500000015,6.863979500000001,0.38019856065308055,6.658042,8.571334,100,100.0
insert,folly,F14FastMap (C++),5000,8.258125000000001,8.39444577,8.258125000000001,0.613151142076136,7.991750000000001,12.429333000000002,100,100.0
insert,rust,HashMap (rust),5000,1.1869580000000002,1.2187637599999999,1.1869580000000002,0.088945819733493,1.1234160000000002,1.551833,100,100.0
insert,mstar,M*DICT (C),5000,1.1772085,1.338992060000001,1.1772085,0.3622981847612118,1.0597500000000002,2.758541,100,100.0
insert,verstable,Verstable (C),5000,1.339104,1.5084683300000001,1.339104,0.3827573993830371,1.203292,2.9970830000000004,100,100.0
insert,python,dict (python),5000,11.178750500000001,11.191009610000004,11.178750500000001,0.14684061021096712,10.764917,11.611541,100,100.0
insert,khash,khash (C),5000,1.2447920000000001,1.3620762400000008,1.2447920000000001,0.3227545819495937,1.065,2.673584,100,100.0
insert,khashl,khashl (C),5000,1.268437,1.4133432700000008,1.268437,0.33329904758484813,1.1503750000000001,2.677292,100,100.0
insert,askl,ASKL Map (C),8000,1.3962500000000002,1.4016187600000005,1.3962500000000002,0.040856764348052854,1.3402500000000002,1.519292,100,100.0
insert,abseil,Abseil (C++),8000,7.0958745,7.100534990000002,7.0958745,0.09814349487589304,6.9275,7.708792000000001,100,100.0
insert,folly,F14FastMap (C++),8000,8.4671045,8.464128370000001,8.4671045,0.12623880083186703,8.183458000000002,8.722833000000001,100,100.0
insert,rust,HashMap (rust),8000,1.426021,1.4364062799999995,1.426021,0.05033610885405499,1.35425,1.641583,100,100.0
insert,mstar,M*DICT (C),8000,1.4653125,1.47290292,1.4653125,0.03725096615835501,1.4272920000000002,1.6139580000000002,100,100.0
insert,verstable,Verstable (C),8000,1.6857295,1.6922079099999994,1.6857295,0.04495586984855596,1.609625,1.82725,100,100.0
insert,python,dict (python),8000,11.5144795,11.53307128,11.5144795,0.1576526611248253,11.078167,12.27575,100,100.0
insert,khash,khash (C),8000,1.4352085,1.43879463,1.4352085,0.04389219288962099,1.369,1.5999170000000003,100,100.0
insert,khashl,khashl (C),8000,1.618833,1.6213279100000006,1.618833,0.04252239468110963,1.5379170000000002,1.776334,100,100.0
insert,askl,ASKL Map (C),10000,1.548396,1.5626441599999996,1.548396,0.04908385144033185,1.4999170000000002,1.7454580000000002,100,100.0
insert,abseil,Abseil (C++),10000,7.1731045,7.175287020000005,7.1731045,0.12672266874533142,6.9557080000000004,7.790834000000001,100,100.0
insert,folly,F14FastMap (C++),10000,8.618542,8.622953380000002,8.618542,0.10992234043947809,8.403333,9.073208000000001,100,100.0
insert,rust,HashMap (rust),10000,1.4963545,1.50582754,1.4963545,0.04910951903868035,1.437083,1.6682910000000002,100,100.0
insert,mstar,M*DICT (C),10000,1.6790625,1.6876634399999997,1.6790625,0.04195340295688815,1.6111670000000002,1.824541,100,100.0
insert,verstable,Verstable (C),10000,1.8648535000000002,1.8739929499999997,1.8648535000000002,0.04617043717134844,1.794958,2.035167,100,100.0
insert,python,dict (python),10000,11.712354000000001,11.708899570000007,11.712354000000001,0.1433097491869459,11.23225,12.116833,100,100.0
insert,khash,khash (C),10000,1.5950625,1.6054291299999996,1.5950625,0.04235204898020064,1.5220000000000002,1.7334170000000002,100,100.0
insert,khashl,khashl (C),10000,1.7655830000000001,1.7696149099999998,1.7655830000000001,0.04754098557897283,1.688459,1.9342500000000002,100,100.0
insert,askl,ASKL Map (C),20000,2.517125,2.5354833400000016,2.517125,0.094700259488111,2.409167,3.1412500000000003,100,100.0
insert,abseil,Abseil (C++),20000,7.938354000000001,7.967367139999999,7.938354000000001,0.16093157481647122,7.701208,8.739959,100,100.0
insert,folly,F14FastMap (C++),20000,9.368979,9.348501650000003,9.368979,0.10763504787764872,9.055,9.600208,100,100.0
insert,rust,HashMap (rust),20000,2.18575,2.2049166700000002,2.18575,0.062214633410680405,2.1281670000000004,2.404291,100,100.0
insert,mstar,M*DICT (C),20000,2.688833,2.685757490000001,2.688833,0.06096202200766083,2.5638750000000003,2.8435,100,100.0
insert,verstable,Verstable (C),20000,3.0961875,3.106890380000001,3.0961875,0.05940376303520706,2.9930410000000003,3.253708,100,100.0
insert,python,dict (python),20000,12.8098125,12.856030839999999,12.8098125,0.25398941660336877,12.363333,14.135000000000002,100,100.0
insert,khash,khash (C),20000,2.8598960000000004,2.863296640000001,2.8598960000000004,0.05812264395963928,2.731083,3.0528750000000002,100,100.0
insert,khashl,khashl (C),20000,2.967166,2.973712090000001,2.967166,0.060068084489050745,2.83325,3.1251660000000006,100,100.0
insert,askl,ASKL Map (C),50000,5.253375,5.263417499999999,5.253375,0.07672789608162242,5.143750000000001,5.4655000000000005,50,100.0
insert,abseil,Abseil (C++),50000,10.054,10.029199199999999,10.054,0.11875941126942834,9.786667000000001,10.546916,50,100.0
insert,folly,F14FastMap (C++),50000,12.062396,12.055525099999999,12.062396,0.09652141449107103,11.805334,12.238792,50,100.0
insert,rust,HashMap (rust),50000,4.150188000000001,4.204300019999999,4.150188000000001,0.19805671829105936,4.003958,5.0188749999999995,50,100.0
insert,mstar,M*DICT (C),50000,5.839,5.833633299999999,5.839,0.10408183787402438,5.605958,5.998292,50,100.0
insert,verstable,Verstable (C),50000,6.472812500000001,6.4753339799999985,6.472812500000001,0.09579710033775574,6.309041000000001,6.648708000000001,50,100.0
insert,python,dict (python),50000,16.6044795,16.612320000000004,16.6044795,0.15272216331426094,16.330459,16.958584000000002,50,100.0
insert,khash,khash (C),50000,6.853666500000001,6.841588399999998,6.853666500000001,0.10298088267603218,6.665375,7.107125000000001,50,100.0
insert,khashl,khashl (C),50000,7.4614165,7.433810880000003,7.4614165,0.10707444280911887,7.241167000000001,7.663250000000001,50,100.0
insert,askl,ASKL Map (C),80000,8.269229000000001,8.3418625,8.269229000000001,0.2838810036689526,8.001625,9.426708000000001,50,100.0
insert,abseil,Abseil (C++),80000,12.5156045,12.543904980000002,12.5156045,0.20363801997096073,12.215209000000002,13.412666,50,100.0
insert,folly,F14FastMap (C++),80000,13.921916500000002,13.92920912,13.921916500000002,0.17673164477559575,13.565500000000002,14.8055,50,100.0
insert,rust,HashMap (rust),80000,6.627187500000001,6.621526719999999,6.627187500000001,0.10179855160832421,6.445833,6.936958,50,100.0
insert,mstar,M*DICT (C),80000,7.886061999999999,7.883684940000002,7.886061999999999,0.09762811535773122,7.669250000000001,8.057167,50,100.0
insert,verstable,Verstable (C),80000,10.5252915,10.50520418,10.5252915,0.08965639450286117,10.189042,10.66525,50,100.0
insert,python,dict (python),80000,19.861875,19.942924220000002,19.861875,0.3794629114126531,19.413833,21.934542,50,100.0
insert,khash,khash (C),80000,10.685875000000001,10.69060584,10.685875000000001,0.13565052018064655,10.468334,11.001125,50,100.0
insert,khashl,khashl (C),80000,10.029958500000001,10.03008432,10.029958500000001,0.09871541287002548,9.800792000000001,10.193667,50,100.0
insert,askl,ASKL Map (C),100000,10.0052295,10.013795780000002,10.0052295,0.08941658476246592,9.823833,10.273875,50,100.0
insert,abseil,Abseil (C++),100000,13.777416500000001,13.778246600000006,13.777416500000001,0.12152531451159823,13.516958,14.004375000000001,50,100.0
insert,folly,F14FastMap (C++),100000,16.4281045,16.497175719999998,16.4281045,0.3154101554897738,16.052416,17.916500000000003,50,100.0
insert,rust,HashMap (rust),100000,7.601542000000001,7.664651660000002,7.601542000000001,0.24721069919374764,7.382417,8.667875,50,100.0
insert,mstar,M*DICT (C),100000,10.823729,10.817112439999999,10.823729,0.07863513104442463,10.581291000000002,10.955291,50,100.0
insert,verstable,Verstable (C),100000,12.499333000000002,12.536340800000003,12.499333000000002,0.2201917963978176,12.326292,13.719125,50,100.0
insert,python,dict (python),100000,22.740604,22.78230914000001,22.740604,0.23000816754974673,22.384542,23.673125000000002,50,100.0
insert,khash,khash (C),100000,13.0819165,13.05037328,13.0819165,0.12722286193599514,12.617291000000002,13.265500000000001,50,100.0
insert,khashl,khashl (C),100000,14.217812499999999,14.261523279999999,14.217812499999999,0.29904544290015284,13.949125000000002,15.420708000000001,50,100.0
insert,askl,ASKL Map (C),200000,19.8564165,19.825487439999996,19.8564165,0.1789338032451153,19.116667,20.103167000000003,50,100.0
insert,abseil,Abseil (C++),200000,21.881187500000003,22.082165019999998,21.881187500000003,0.6933925114533409,21.289292,25.014750000000003,50,100.0
insert,folly,F14FastMap (C++),200000,25.6375835,25.701730059999996,25.6375835,0.5315552522262215,25.016459,27.94975,50,100.0
insert,rust,HashMap (rust),200000,15.008104000000001,15.004105779999998,15.008104000000001,0.15574267398111344,14.707791000000002,15.799834000000002,50,100.0
insert,mstar,M*DICT (C),200000,20.5614165,20.604692500000002,20.5614165,0.38610629466551943,19.918125000000003,22.542916,50,100.0
insert,verstable,Verstable (C),200000,25.122875000000004,25.24714926,25.122875000000004,0.42089458911048283,24.814292000000002,27.364500000000003,50,100.0
insert,python,dict (python),200000,35.659167000000004,35.648420859999995,35.659167000000004,0.24179323662314112,35.049083,36.511874999999996,50,100.0
insert,khash,khash (C),200000,23.5519375,23.534915039999998,23.5519375,0.2203306811611519,22.851,24.138333000000003,50,100.0
insert,khashl,khashl (C),200000,30.32525,30.339995860000005,30.32525,0.20732401198764555,29.824125000000002,30.920417,50,100.0
insert,askl,ASKL Map (C),300000,30.583645999999998,30.60607506666667,30.583645999999998,0.26881519748485727,30.271500000000003,31.635084,30,100.0
insert,abseil,Abseil (C++),300000,32.00956250000001,32.042887533333335,32.00956250000001,0.20232664870412773,31.725708000000004,32.506917,30,100.0
insert,folly,F14FastMap (C++),300000,31.616104500000006,31.619477833333338,31.616104500000006,0.1642074861133348,31.255708,32.033834000000006,30,100.0
insert,rust,HashMap (rust),300000,26.275896,26.335436200000004,26.275896,0.25343388391716254,25.939083,27.331375,30,100.0
insert,mstar,M*DICT (C),300000,27.924146000000004,27.91479176666667,27.924146000000004,0.1942974515387707,27.596625000000003,28.502208,30,100.0
insert,verstable,Verstable (C),300000,41.137375000000006,41.18008473333334,41.137375000000006,0.24059840717862627,40.804875,42.116083,30,100.0
insert,python,dict (python),300000,47.136646000000006,47.11842783333332,47.136646000000006,0.368947329546353,46.598541,48.61112500000001,30,100.0
insert,khash,khash (C),300000,36.8579165,36.907017999999994,36.8579165,0.5093901742950531,35.966167,38.977708,30,100.0
insert,khashl,khashl (C),300000,41.1458745,41.11115416666668,41.1458745,0.30677965728741635,40.429083000000006,41.710333000000006,30,100.0
insert,askl,ASKL Map (C),400000,39.506833500000006,39.5625195,39.506833500000006,0.3720217560527002,39.001125,40.58129100000001,30,100.0
insert,abseil,Abseil (C++),400000,39.688229500000006,39.73961533333333,39.688229500000006,0.43923801561766884,39.342875,41.794250000000005,30,100.0
insert,folly,F14FastMap (C++),400000,44.322,44.35425963333335,44.322,0.284160539960641,43.924292,45.113167000000004,30,100.0
insert,rust,HashMap (rust),400000,32.3820625,32.5305833,32.3820625,0.5536455988055613,32.017041000000006,34.426375,30,100.0
insert,mstar,M*DICT (C),400000,39.809917,39.775511099999996,39.809917,0.28446031908878433,39.17254200000001,40.295083000000005,30,100.0
insert,verstable,Verstable (C),400000,53.098271000000004,53.17346236666667,53.098271000000004,0.6127780288614099,52.082583,55.752250000000004,30,100.0
insert,python,dict (python),400000,62.154104000000004,62.309420733333326,62.154104000000004,0.6173890190221771,61.668625000000006,65.200625,30,100.0
insert,khash,khash (C),400000,48.14775,48.124697366666666,48.14775,0.4078707674895522,47.327167,49.65704100000001,30,100.0
insert,khashl,khashl (C),400000,64.4687285,64.51855690000001,64.4687285,0.8092521663489315,63.277583,68.275416,30,100.0
insert,askl,ASKL Map (C),500000,52.9049795,53.0309878,52.9049795,0.6744759380895173,52.327334,54.78920800000001,10,100.0
insert,abseil,Abseil (C++),500000,53.738208,54.1264167,53.738208,0.9173811234019548,53.067042,56.054209,10,100.0
insert,folly,F14FastMap (C++),500000,50.866791500000005,50.9780708,50.866791500000005,0.4837992813542048,50.37204200000001,52.02908300000001,10,100.0
insert,rust,HashMap (rust),500000,50.773708,50.871012400000005,50.773708,0.3883430801996264,50.341416,51.617542,10,100.0
insert,mstar,M*DICT (C),500000,47.789978500000004,47.834903999999995,47.789978500000004,0.37886741401269386,47.32837500000001,48.364625000000004,10,100.0
insert,verstable,Verstable (C),500000,74.32122900000002,74.28947090000001,74.32122900000002,0.2795261801089895,73.753209,74.75366700000001,10,100.0
insert,python,dict (python),500000,73.6222505,74.05608780000001,73.6222505,1.3969227032801457,73.178834,77.867458,10,100.0
insert,khash,khash (C),500000,63.582062500000006,63.6419998,63.582062500000006,0.4423615574288137,62.966041,64.38975,10,100.0
insert,khashl,khashl (C),500000,75.8497495,76.5323792,75.8497495,1.7080741383308327,75.42500000000001,81.056584,10,100.0
insert,askl,ASKL Map (C),600000,61.6937915,62.065910450000004,61.6937915,1.3324108041045262,60.746792,66.946959,20,100.0
insert,abseil,Abseil (C++),600000,63.295,63.49513540000002,63.295,1.1726640938744828,62.305666,68.214125,20,100.0
insert,folly,F14FastMap (C++),600000,57.75993750000001,58.169945900000016,57.75993750000001,0.9410865694146993,57.112625,60.385875000000006,20,100.0
insert,rust,HashMap (rust),600000,58.189667,58.475450150000015,58.189667,0.732132808559836,57.566042,60.52225000000001,20,100.0
insert,mstar,M*DICT (C),600000,55.004021,55.008552050000006,55.004021,0.37327983383705327,54.523458000000005,55.829,20,100.0
insert,verstable,Verstable (C),600000,86.407646,86.72618965000001,86.407646,0.9380219162884748,86.106584,89.47525,20,100.0
insert,python,dict (python),600000,85.3775415,85.57345205000001,85.3775415,0.9711070688474162,83.938708,87.68825000000001,20,100.0
insert,khash,khash (C),600000,72.15102100000001,72.16864794999998,72.15102100000001,0.34675820506703897,71.37383299999999,72.748,20,100.0
insert,khashl,khashl (C),600000,87.42537450000002,87.45728550000001,87.42537450000002,0.3599773743096856,86.90220900000001,88.31562500000001,20,100.0
insert,askl,ASKL Map (C),800000,81.04614600000001,81.02250830000001,81.04614600000001,0.6400784707155589,80.139875,81.990083,10,100.0
insert,abseil,Abseil (C++),800000,81.781917,83.17157500000002,81.781917,3.5462645096066634,80.808458,92.75325000000001,10,100.0
insert,folly,F14FastMap (C++),800000,85.76870850000002,86.03930410000001,85.76870850000002,1.0547795031601481,84.88208300000001,87.57925000000002,10,100.0
insert,rust,HashMap (rust),800000,72.8519375,73.36893750000002,72.8519375,1.6538500658389828,72.008667,77.48075,10,100.0
insert,mstar,M*DICT (C),800000,80.36431250000001,80.5624085,80.36431250000001,0.6248258459043253,80.015459,82.158375,10,100.0
insert,verstable,Verstable (C),800000,113.922833,114.6463124,113.922833,3.025942229666696,112.444125,122.960708,10,100.0
insert,python,dict (python),800000,116.61062500000001,116.69449999999999,116.61062500000001,0.35260843027642086,116.28416700000001,117.47562500000001,10,100.0
insert,khash,khash (C),800000,95.648583,96.0399666,95.648583,1.0251636865589575,95.14570800000001,98.698959,10,100.0
insert,khashl,khashl (C),800000,137.939792,138.2195376,137.939792,1.3220627121871291,136.785625,141.54675,10,100.0
insert,askl,ASKL Map (C),1000000,110.102875,110.05685000000001,110.102875,0.5946356519690594,108.719458,110.97912500000001,10,100.0
insert,abseil,Abseil (C++),1000000,114.37775050000002,114.73838760000002,114.37775050000002,1.152570400754687,113.510333,117.279459,10,100.0
insert,folly,F14FastMap (C++),1000000,99.12483350000001,99.27592510000002,99.12483350000001,1.1321993054333035,98.03708300000001,101.31175,10,100.0
insert,rust,HashMap (rust),1000000,114.8585415,115.57487070000002,114.8585415,2.5592752358954183,112.855,120.13725,10,100.0
insert,mstar,M*DICT (C),1000000,97.56358350000001,97.6954127,97.56358350000001,0.6372953316576857,96.93537500000001,99.03062500000001,10,100.0
insert,verstable,Verstable (C),1000000,165.6908125,165.7563875,165.6908125,1.1262404894232299,164.32350000000002,168.11758300000002,10,100.0
insert,python,dict (python),1000000,142.11016650000002,142.1185916,142.11016650000002,0.5689080044461754,141.173125,142.833917,10,100.0
insert,khash,khash (C),1000000,128.77602050000002,128.67506239999997,128.77602050000002,1.0751276150549844,126.87725,130.608167,10,100.0
insert,khashl,khashl (C),1000000,166.213,166.6742127,166.213,2.098224040547732,165.23391700000002,172.321041,10,100.0
miss,askl,ASKL Map (C),5000,1.451,1.4636367000000008,1.451,0.05084779874152456,1.396333,1.67975,100,100.0
miss,abseil,Abseil (C++),5000,7.119771,7.16454669,7.119771,0.20887227372653078,6.876959,7.990875,100,100.0
miss,folly,F14FastMap (C++),5000,8.5687505,8.60021339,8.5687505,0.24204978757096518,8.333333,10.434500000000002,100,100.0
